"","CODE","COUNTRY","SUB.CHAPTER","TITLE","UNIT","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X"
"1","EU28.1.0.99.0.DXGT","European Union","01 Foreign trade at current prices","Total exports of goods :- Foreign trade statistics ","(Mrd EUR) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300.547,1462.979,1633.675,1757.646,1991.59,2108.699,2215.426,2660.257,2762.628,2795.569,2789.782,3032.055,3281.661,3668.436,3915.421,4048.728,3307.948,3910.607,4377.874,4523.73,4575.673,4635.592,4857.475,4856.667,5235.331,"5525.228                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",NA
"2","EU15.1.0.99.0.DXGT","European Union (15 countries)","01 Foreign trade at current prices","Total exports of goods :- Foreign trade statistics ","(Mrd EUR) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1202.364,1219.004,1247.097,1398.496,1559.67,1675.902,1891.248,1996.184,2099.363,2507.815,2589.953,2608.55,2587.637,2784.506,2993.802,3319.803,3507.305,3594.289,2935.628,3449.774,3841.139,3962.196,3994.66,4026.709,4211.533,4191.881,4507.197,"4740.943                                                                                                                                                                                                                                                                                                                                                                                                                                   ",NA
"3","EA19.1.0.99.0.DXGT","Euro area","01 Foreign trade at current prices","Total exports of goods :- Foreign trade statistics ","(Mrd EUR) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1034.475,1159.63,1306.032,1396.815,1553.463,1660.532,1743.459,2083.624,2180.895,2205.63,2214.122,2397.797,2569.994,2848.276,3081.266,3175.616,2605.438,3049.815,3390.858,3515.72,3520.068,3581.722,3730.523,3759.326,4055.903,"4264.821                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",NA
"4","EA12.1.0.99.0.DXGT","Euro area (12 countries)","01 Foreign trade at current prices","Total exports of goods :- Foreign trade statistics ","(Mrd EUR) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980.275,997.727,1020,1142.168,1286.2,1375.489,1527.561,1632.494,1717.16,2048.904,2143.252,2165.245,2168.398,2344.084,2505.945,2769.263,2986.46,3069.12,2519.78,2943.664,3262.549,3376.73,3377.903,3438.595,3584.475,3609.614,3892.581,"4089.910                                                                                                                                                                                                                                                                                                                                                                                                                                          ",NA
"5","DU15.1.0.99.0.DXGT","EU15 (including D_W West-Germany)","01 Foreign trade at current prices","Total exports of goods :- Foreign trade statistics ","(Mrd EUR) ",45.3,48.094,50.472,55.118,61.546,68.223,74.903,79.084,91.68,108.517,125.695,140.136,157.282,196.416,265.582,274.418,334.244,377.986,407.755,476.263,540.529,622.597,683.943,734.708,851.341,931.323,854.752,908.942,986.929,1127.519,1163.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",NA
"6","DA12.1.0.99.0.DXGT","EA12 (including D_W West-Germany)","01 Foreign trade at current prices","Total exports of goods :- Foreign trade statistics ","(Mrd EUR) ",31.6812,33.9789,35.8363,39.2023,44.4509,49.8182,54.9574,58.9829,69.4146,82.8674,96.8532,107.9026,123.4886,156.2761,212.7568,217.5214,268.92,303.522,328.0763,382.4425,427.081,490.9891,541.836,582.8799,674.9282,736.6811,686.6608,734.6189,798.0999,915.6995,946.6019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                        ",NA
"7","BEL.1.0.99.0.DXGT","Belgium","01 Foreign trade at current prices","Total exports of goods :- Foreign trade statistics ","(Mrd EUR) ",3.5656,3.6652,4.0325,4.5092,5.2019,5.9515,6.3834,6.6011,7.9416,9.871,11.3468,12.1306,14.3932,18.2069,23.7528,23.2058,29.3761,32.8721,35.3034,41.3719,46.4358,49.8142,53.4474,58.3251,65.6728,70.3488,69.9287,71.9024,77.8736,90.5025,92.2524,95.0878,94.8563,103.649,122.6797,134.9982,137.6633,157.3076,166.1,168.0912,203.9532,212.5375,228.5612,225.9696,246.697,268.7887,292.0871,314.4488,320.805,265.986,307.5299,341.7181,347.0882,352.9556,355.5278,357.7371,359.5188,384.0027,"403.6309                                                                                                                                                                                                                                                                                                           ",NA
"8","BGR.1.0.99.0.DXGT","Bulgaria","01 Foreign trade at current prices","Total exports of goods :- Foreign trade statistics ","(Mrd EUR) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79432,1.87782,1.91124,2.38291,3.35569,2.49138,2.36153,2.49369,2.52938,1.59538,1.6555,1.88257,1.98064,2.85809,3.99112,3.76505,3.80374,3.70175,3.7338,5.2531,5.7141,6.0628,6.6681,7.9849,9.2234,11.7482,13.5121,15.2039,11.6994,15.5616,20.2647,20.7706,22.272,22.0437,22.8777,23.4715,25.59325,"27.48869                                                                                                                                                                                                                                                                                                                                                                                                                      ",NA
"9","CZE.1.0.99.0.DXGT","Czech Republic","01 Foreign trade at current prices","Total exports of goods :- Foreign trade statistics ","(Mrd EUR) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0543,12.0054,13.1332,17.4638,19.8668,23.5664,24.9165,31.5006,37.2084,40.7062,43.0529,55.4597,62.7846,75.6047,89.3821,99.8091,80.9834,100.3104,117.0541,122.2301,122.1851,131.7991,142.3641,147.065,158.7443,"168.7287                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",NA
"10","DNK.1.0.99.0.DXGT","Denmark","01 Foreign trade at current prices","Total exports of goods :- Foreign trade statistics ","(Mrd EUR) ",1.40313,1.43815,1.547,1.77602,1.97325,2.16207,2.29013,2.376,2.55712,2.94858,3.27814,3.51321,3.92858,5.07416,6.46936,7.02306,8.1499,8.81941,9.32894,10.72187,12.1923,14.40969,15.71661,18.03251,20.18988,22.37265,21.50103,22.16746,23.20547,25.19002,26.7392,28.32677,31.69363,30.67404,33.48796,36.6847,38.0375,43.449,43.7185,47.1908,55.5354,57.7321,60.8024,58.798,61.9661,68.4197,73.716,75.28,79.496,67.3819,72.7468,80.362,83.3363,83.5396,83.9118,86.0603,86.1392,91.84272,"96.28369                                                                                                                                                                                                                                                                                   ",NA
