"","CODE","COUNTRY","SUB.CHAPTER","TITLE","UNIT","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X"
"1","EU28.1.0.0.0.UXGS","European Union","01 Exports of goods and services","Exports of goods and services at current prices (National accounts) ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2048.102,2185.454,2453.662,2587.402,2739.095,3253.087,3390.187,3444.605,3429.919,3745.733,4072.215,4568.575,4923.178,5080.185,4279.115,4944.565,5463.206,5727.08,5807.722,6034.682,6466.17,6515.374,6936.334,"7333.299                                                                                                                                                                                                                                                                                                                                                                                                                                     ",NA
"2","EU15.1.0.0.0.UXGS","European Union (15 countries)","01 Exports of goods and services","Exports of goods and services at current prices (National accounts) ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1506.924,1554.188,1591.278,1758.92,1944.123,2071.243,2320.059,2438.985,2588.314,3061.081,3173.369,3212.949,3184.013,3455.179,3726.812,4153.993,4438.939,4541.534,3826.758,4404.581,4847.906,5079.983,5134.725,5325.155,5711.978,5733.52,6082.953,"6414.244                                                                                                                                                                                                                                                                                                                                                                                              ",NA
"3","EA19.1.0.0.0.UXGS","Euro area","01 Exports of goods and services","Exports of goods and services at current prices (National accounts) ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1295.614,1429.114,1588.73,1680.003,1861.087,1975.266,2089.233,2461.73,2577.689,2619.185,2615.634,2852.477,3067.122,3407.962,3711.595,3842.572,3245.471,3726.925,4109.84,4300.555,4370.884,4532.877,4831.701,4905.416,5219.85,"5501.070                                                                                                                                                                                                                                                                                                                                                                                                                              ",NA
"4","EA12.1.0.0.0.UXGS","Euro area (12 countries)","01 Exports of goods and services","Exports of goods and services at current prices (National accounts) ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1203.442,1250.246,1272.249,1402.15,1558.822,1647.361,1822.738,1936.019,2050.139,2414.088,2525.152,2562.738,2554.47,2781.253,2982.955,3306.433,3590.558,3706.684,3132.736,3593.321,3952.817,4129.238,4192.473,4350.99,4645.189,4713.187,5012.442,"5279.314                                                                                                                                                                                                                                                                                                                                                                                                   ",NA
"5","DU15.1.0.0.0.UXGS","EU15 (including D_W West-Germany)","01 Exports of goods and services","Exports of goods and services at current prices (National accounts) ","Mrd ECU/EUR, Standard aggregation",60.765,64.293,67.839,73.793,82.269,90.546,99.601,105.97,121.227,141.19,164.584,182.757,203.439,249.326,335.142,349.354,421.215,475.734,515.311,599.5,680.415,788.884,862.876,929.228,1070.36,1161.226,1105.885,1134.416,1234.755,1407.017,1507.168,1602.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                 ",NA
"6","DA12.1.0.0.0.UXGS","EA12 (including D_W West-Germany)","01 Exports of goods and services","Exports of goods and services at current prices (National accounts) ","Mrd ECU/EUR, Standard aggregation",42.025,44.903,47.785,52.244,59.046,65.629,72.722,78.268,90.703,106.492,124.731,138.743,157.764,195.843,264.384,273.833,332.394,375.436,408.557,473.216,529.705,612.2,673.003,726.316,837.218,904.35,880.795,900.523,981.451,1124.015,1214.162,1298.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                        ",NA
"7","BEL.1.0.0.0.UXGS","Belgium","01 Exports of goods and services","Exports of goods and services at current prices (National accounts) ","Mrd EURO-BEF",4.9127,5.3927,5.9991,6.6307,7.5609,8.1299,9.079,9.5131,10.6913,12.8985,14.8966,15.8861,17.9569,22.2137,28.6643,27.5021,33.0692,34.9086,36.1528,42.1976,45.8409,51.8463,60.2954,66.3984,76.5073,78.8965,75.7436,76.849,87.4348,101.445,104.2652,106.7771,109.4793,107.5768,118.0563,125.885,130.522,144.387,148.66,156.057,185.552,188.764,193.411,193.878,210.203,229.005,247.32,267.121,282.176,241.739,279.114,309.486,318.935,320.461,333.478,340.295,356.035,380.3864,"400.6526                                                                                                                                                                                                                                                                                     ",NA
"8","BGR.1.0.0.0.UXGS","Bulgaria","01 Exports of goods and services","Exports of goods and services at current prices (National accounts) ","Mrd BGN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05338,0.08565,0.10337,0.2143,0.41255,1.0607,9.43552,11.0977,10.7058,10.18651,10.80857,11.4632,12.60965,16.87467,19.99623,25.18411,33.24256,38.22843,30.89637,37.51943,47.70357,49.88205,53.12245,54.37269,56.78058,58.88353,62.60551,"66.98983                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",NA
"9","CZE.1.0.0.0.UXGS","Czech Republic","01 Exports of goods and services","Exports of goods and services at current prices (National accounts) ","Mrd CZK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.369,337.723,391.593,475.099,510.199,640.918,696.731,792.529,905.959,962.453,1146.684,1259.189,1210.069,1318.275,1756.019,2030.198,2289.863,2550.182,2544.303,2306.533,2616.396,2876.356,3092.438,3150.27,3560.847,3778.292,3788.169,4046.059,"4284.005                                                                                                                                                                                                                                                                                                                                                                                                                                            ",NA
"10","DNK.1.0.0.0.UXGS","Denmark","01 Exports of goods and services","Exports of goods and services at current prices (National accounts) ","Mrd DKK",13.942,14.362,15.44,17.46,19.596,21.603,23.11,24.289,27.32,30.889,34.771,38.02,42.633,52.003,63.828,68.308,76.09,84.751,91.269,108.22,130.293,159.015,180.582,199.218,222.158,241.886,230.178,237.28,261.478,291.058,311.621,335.582,341.094,339.505,366.045,380.037,403.862,433.371,441.588,489.079,595.644,625.352,645.117,630.409,662.123,752.583,853.411,895.202,975.961,811.578,914.933,993.979,1035.249,1058.019,1077.957,1119.546,1094.301,1168.725,"1230.544                                                                                                                                                                                                                                                                                                                            ",NA
"11","DEU.1.0.0.0.UXGS","Germany","01 Exports of goods and services","Exports of goods and services at current prices (National accounts) ","Mrd EURO-DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374.884,377.441,355.907,386.832,417.876,441.293,499.483,533.89,558.369,652.501,694.733,719.655,723.557,804.899,868.355,985.788,1080.938,1113.329,930.04,1090.085,1211.489,1268.318,1284.744,1334.833,1418.789,1441.387,1527.946,"1606.816                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",NA
"12","D_W.1.0.0.0.UXGS","West Germany","01 Exports of goods and services","Exports of goods and services at current prices (National accounts) ","Mrd EURO-DEM",30.9923,32.2592,33.7794,36.793,40.8954,44.6799,50.4266,54.4536,61.3971,69.7907,77.09,82.35,89.74,105.46,135.56,133.23,152.56,161.73,169.21,185.73,207.49,234.96,253.69,257.57,289.2,319.1,311.98,311.31,334.77,378.35,421.66,474.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                          ",NA
"13","EST.1.0.0.0.UXGS","Estonia","01 Exports of goods and services","Exports of goods and services at current prices (National accounts) ","Mrd EURO-EEK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97251,1.43955,1.88586,2.25506,3.21859,3.75567,3.77759,3.80342,4.27972,4.53365,4.99851,5.97198,7.42252,8.58473,10.26702,11.03316,8.60135,11.04891,14.42412,15.42211,15.95556,16.4106,16.05669,16.64815,17.98378,"18.98527                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",NA
"14","IRL.1.0.0.0.UXGS","Ireland","01 Exports of goods and services","Exports of goods and services at current prices (National accounts) ","Mrd EURO-IEP",0.258,0.3021,0.3046,0.3408,0.386,0.4285,0.4831,0.5362,0.6208,0.6893,0.7689,0.859,0.9926,1.3177,1.6326,2.0784,2.7632,3.6164,4.3312,5.0534,5.955,7.0654,8.259,9.9514,12.5426,13.7858,13.3222,15.2194,17.5026,20.7155,20.7074,21.8311,24.3738,28.5619,32.9443,40.2586,45.0548,53.5252,67.8882,80.4016,102.4091,116.2545,123.0087,117.6847,125.7527,135.4413,146.1492,159.3046,157.9404,158.5963,172.7948,177.3031,187.662,191.183,219.79,317.197,318.817,336.1178,"356.0526                                                                                                                                                                                                                                                                                                                ",NA
"15","GRC.1.0.0.0.UXGS","Greece","01 Exports of goods and services","Exports of goods and services at current prices (National accounts) ","Mrd EURO-GRD",0.03792,0.04189,0.03853,0.04686,0.04521,0.0519,0.0711,0.07374,0.07085,0.07914,0.09145,0.10515,0.13564,0.22597,0.31715,0.37952,0.46929,0.54676,0.65164,0.89859,1.37376,1.82039,1.84248,2.10426,2.66863,3.12702,4.09832,4.72842,5.17954,6.01631,6.73004,7.98605,9.67331,10.28384,11.9932,13.42469,14.7208,18.60891,20.41352,25.76246,33.50157,34.68306,32.87663,33.17717,40.11489,42.46298,46.13003,52.40345,56.53275,45.08918,49.95793,52.86568,54.84492,54.83477,57.83746,56.07384,53.03653,58.04085,"61.41298                                                                                                                                                                                                                                                                                  ",NA
