"","CODE","COUNTRY","SUB.CHAPTER","TITLE","UNIT","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X"
"1","EU28.1.0.0.0.NPTD","European Union","01 Population","Total population (National accounts) ","1000 persons",409118.213,412757.562,416605.205,420436.581,423998.939,427412.96,430598.291,433589.119,436655.171,439538.767,441849.919,444338.091,447154.9,449779.361,452128.431,454318.499,456384.304,458308.364,460157.846,462006.617,463928.694,465671.629,467048.883,468145.862,469155.308,470240.63,471484.615,472814,474294.796,475872.835,477453.632,478790.795,480038.585,481413.686,482473.178,483322.207,484031.14,484715.093,485356.94,486132.689,487127.84,488078.7,489017.78,490860.85,492709.23,494786.4,496556.17,498565.82,500518.18,501981.14,503538.66,504783.61,505980.89,506988.58,508137.97,509599.21,511266.046,512876.014,"514268.765                                                                                                                                                                    ",NA
"2","EU15.1.0.0.0.NPTD","European Union (15 countries)","01 Population","Total population (National accounts) ","1000 persons",316765.222,319555.879,322630.881,325616.858,328310.387,331012.336,333559.447,335823.34,337871.831,340025.134,341801.36,343783.545,345873.296,347753.07,349339.005,350676.458,351829.728,352912.371,354044.595,355267.479,356588.597,357735.425,358498.998,359017.656,359480.373,360053.401,360799.826,361648.662,362730.103,364181.729,365805.427,367455.255,369095.863,370571.655,371684.274,372706.31,373668.43,374568.06,375399.2,376383.29,377614.29,379030.66,380991.84,383108.41,385223.01,387563.53,389584.12,391965.77,394252.94,395874.32,397315.44,398876.48,400289.72,401522.97,402883.39,404564.69,406420.726,408317.215,"409936.813                                                                                                                                                     ",NA
"3","EA19.1.0.0.0.NPTD","Euro area","01 Population","Total population (National accounts) ","1000 persons",265029.391,267545.357,270202.2,272918.166,275296.488,277668.962,279943.48,281916.974,283754.801,285695.474,287267.966,288985.21,290981.12,292821.764,294382.699,295734.196,296985.221,298166.449,299377.889,300629.814,301959.811,303167.097,304052.544,304665.551,305140.964,305684.842,306408.407,307239.192,308271.008,309602.423,311032.968,312443.767,313810.554,315005.9,315828.436,316567.36,317290.26,317960.35,318560.13,319267.8,320260.66,321331.95,322941.02,324694.2,326391.66,328152.33,329633.87,331403.18,333054.53,334113.34,334881.92,335707.03,336567.33,337252.12,337949.99,338934.24,340126.906,341349.183,"342309.112                                                                                                                                                                         ",NA
"4","EA12.1.0.0.0.NPTD","Euro area (12 countries)","01 Population","Total population (National accounts) ","1000 persons",252350.33,254639.724,257152.279,259725.932,261959.023,264192.708,266334.68,268181.468,269895.64,271722.167,273193.68,274799.359,276667.16,278394.449,279898.29,281192.435,282316.69,283372.557,284461.71,285603.062,286834.586,287953.8,288736.562,289236.011,289604.496,290034.314,290622.597,291315.767,292229.918,293474.144,294852.951,296253.449,297670.536,298939.502,299825.875,300624.41,301401.43,302122.96,302770.2,303520.39,304518.19,305664.66,307324.84,309123.21,310876.51,312701.93,314239.62,316038.67,317716.34,318792.82,319631.34,320572.28,321474.32,322203.57,322947.29,323973.49,325196.636,326457.182,"327460.603                                                                                                                                                          ",NA
"5","DU15.1.0.0.0.NPTD","EU15 (including D_W West-Germany)","01 Population","Total population (National accounts) ","1000 persons",299420.538,302400.751,305479.933,308329.693,311001.546,313706.467,316146.287,318197.334,320117.023,322222.272,324323.024,326794.729,328897.063,330832.75,332465.933,333872.114,335063.817,336192.505,337318.688,338540.06,339906.035,341049.593,341843.669,342352.306,342836.483,343432.233,344185.114,344925.526,346074.425,347533.696,349665.997,351556.255,353460.863,355160.655,356395.274,358856.31,359946.43,359706.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                         ",NA
"6","DA12.1.0.0.0.NPTD","EA12 (including D_W West-Germany)","01 Population","Total population (National accounts) ","1000 persons",235005.647,237484.596,240001.331,242438.767,244650.182,246886.838,248921.519,250555.462,252140.832,253919.306,255715.345,257810.543,259690.927,261474.129,263025.218,264388.092,265550.779,266652.691,267735.804,268875.643,270152.024,271267.968,272081.233,272570.661,272960.605,273413.146,274007.885,274592.631,275574.24,276826.112,278713.521,280354.449,282035.536,283528.502,284536.875,286774.41,287679.43,287260.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                         ",NA
"7","BEL.1.0.0.0.NPTD","Belgium","01 Population","Total population (National accounts) ","1000 persons",9153.489,9183.948,9220.578,9289.77,9378.113,9463.667,9527.807,9580.991,9618.756,9646.032,9655.549,9673.162,9711.115,9741.72,9772.419,9800.7,9818.227,9830.358,9839.534,9848.382,9859,9858,9856,9854,9855,9857,9859,9870,9904,9940,9968,10006,10047,10086,10116,10137,10155,10180,10203,10223,10246,10281,10330,10373,10417,10474,10543,10622,10707,10790,10883,10978,11054,11105,11157,11212,11271,11363,"11421.000                                                                                                                                                                                                                                                                      ",NA
"8","BGR.1.0.0.0.NPTD","Bulgaria","01 Population","Total population (National accounts) ","1000 persons",7867.374,7943.118,8012.946,8078.145,8144.34,8204.168,8258.057,8310.226,8369.603,8434.172,8489.574,8536.395,8576.2,8620.967,8678.745,8720.742,8758.599,8804.183,8814.032,8825.94,8861.535,8891.117,8917.457,8939.738,8960.679,8960.547,8958.171,8971.359,8981.446,8876.972,8718.3,8632.3,8540.1,8472.3,8443.6,8406.07,8362.83,8312.07,8256.79,8210.62,8170.17,8009.14,7837.16,7775.33,7716.86,7658.97,7601.02,7545.34,7492.56,7444.44,7395.6,7348.33,7305.89,7265.12,7223.94,7197.49,7154.74,7104.657,"7062.029                                                                                                                                                                                                                                                                                                 ",NA
"9","CZE.1.0.0.0.NPTD","Czech Republic","01 Population","Total population (National accounts) ","1000 persons",9605.267,9589.906,9627.929,9673.97,9731.108,9782.679,9824.375,9856.245,9879.7,9899.941,9861.419,9830.152,9870.983,9925.636,9991.851,10062.036,10129.378,10190.215,10245.576,10295.836,10307.693,10304.089,10318.329,10327.362,10333.722,10340.628,10345.74,10350.832,10358.793,10364.587,10336.864,10312.079,10322.627,10333.363,10337.097,10330.76,10315.35,10303.64,10294.94,10282.78,10272.5,10224.19,10200.77,10201.65,10206.92,10234.09,10266.65,10322.69,10429.69,10491.49,10517.25,10496.67,10509.29,10510.72,10524.78,10542.94,10563.89,10589.243,"10615.716                                                                                                                                                                                                                                               ",NA
"10","DNK.1.0.0.0.NPTD","Denmark","01 Population","Total population (National accounts) ","1000 persons",4562.056,4594.018,4629.919,4666.535,4703.98,4740.778,4779,4820,4855,4879,4938,4963,4992,5022,5045,5060,5073,5089,5105,5118,5124,5122,5118,5114,5111,5113,5120,5127,5130,5132,5140,5154,5171,5189,5206,5230,5262,5285,5303,5321,5338,5357,5376,5390,5403,5419,5437,5460,5493,5523,5547,5570,5591,5613,5643,5682,5729,5771.968,"5812.948                                                                                                                                                                                                                                                                                                  ",NA
