"","CODE","COUNTRY","SUB.CHAPTER","TITLE","UNIT","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X"
"1","EU28.1.0.0.0.UYVC","European Union","01 Revenue","Other subsidies on production: corporations ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.212,62.361,64.038,63.656,64.936,63.358,68.884,81.583,84.298,88.007,93.866,95.608,93.513,91.451,91.458,101.282,106.86,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",NA
"2","EU15.1.0.0.0.UYVC","European Union (15 countries)","01 Revenue","Other subsidies on production: corporations ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.62451,59.60728,61.18064,60.9794,61.65569,59.82779,64.42213,76.47591,78.17702,80.36675,86.57406,88.21103,86.58053,84.19876,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",NA
"3","EA19.1.0.0.0.UYVC","Euro area","01 Revenue","Other subsidies on production: corporations ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.432,55.118,56.996,56.106,56.569,54.89,57.812,68.639,69.857,64.423,69.642,72.434,71.598,69.647,76.024,86.684,92.589,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",NA
"4","EA12.1.0.0.0.UYVC","Euro area (12 countries)","01 Revenue","Other subsidies on production: corporations ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.89153,54.42773,56.33311,55.44847,55.72407,53.98932,56.9042,67.61005,68.5654,71.21329,77.49083,79.21597,77.7518,74.52824,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",NA
"5","BEL.1.0.0.0.UYVC","Belgium","01 Revenue","Other subsidies on production: corporations ","Mrd EURO-BEF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3105,1.3149,1.296,1.4807,1.2074,1.0734,1.1933,1.2761,1.2234,1.1448,2.2603,2.5741,2.338,2.5038,2.6752,2.6965,2.8229,2.9327,3.1064,3.4747,4.18,5.4754,6.4879,7.536,8.2514,9.4934,10.2345,10.4958,10.9089,11.1835,11.2831,11.6603,11.81106,"11.90902                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",NA
"6","BGR.1.0.0.0.UYVC","Bulgaria","01 Revenue","Other subsidies on production: corporations ","Mrd BGN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00084,0.00129,0.01991,0.05589,0.084,0.05084,0.06106,0.04111,0.07205,0.10481,0.09339,0.09814,0.1113,0.11866,0.11076,0.0806,0.08044,0.1075,0.47362,0.35589,0.35589,0.35589,0.35589,"0.355890                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",NA
"7","CZE.1.0.0.0.UYVC","Czech Republic","01 Revenue","Other subsidies on production: corporations ","Mrd CZK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.627,13.387,19.761,32.774,32.891,30.209,36.424,25.389,26.74,25.14,31.62,33.363,35.434,36.288,43.483,39.328,38.847,39.735,39.389,39.748,39.708,39.3,41.3829,"42.46713                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",NA
"8","DNK.1.0.0.0.UYVC","Denmark","01 Revenue","Other subsidies on production: corporations ","Mrd DKK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.131,3.07,4.017,5.631,4.628,4.247,4.112,7.644,9.172,10.479,9.817,14.22,10.582,11.785,12.855,14.313,13.9,13.418,11.445,10.254,10.07,10.898,10.323,10.776,11.672,12.763,13.479,13.355,19.829,20.261,19.506,19.587,19.016,18.292,18.06,17.583,17.67092,"18.16570                                                                                                                                                                                                                                                                                                                                                                                                                                           ",NA
"9","DEU.1.0.0.0.UYVC","Germany","01 Revenue","Other subsidies on production: corporations ","Mrd EURO-DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.64,20.446,19.404,25.157,26.538,26.878,24.42,25.661,25.62,25.305,23.583,22.183,20.488,19.095,21.489,23.121,20.797,21.061,24.048,23.493,22.961,21.537,22.293,22.771,22.634,23.873,22.6216,"22.83852                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",NA
"10","D_W.1.0.0.0.UYVC","West Germany","01 Revenue","Other subsidies on production: corporations ","Mrd EURO-DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.61,11.13,11.1,12.18,12.31,13.15,14.33,16.37,16.89,16.86,17.04,18.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",NA
