CODE;COUNTRY;SUB-CHAPTER;TITLE;UNIT;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
DEU.1.0.0.0.UUNF;Germany;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd EURO-DEM;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1576.364;1705.959;1753.157;1829.531;1882.791;1912.267;1938.056;1976.898;2038.270;2090.990;2127.493;2115.277;2134.767;2156.975;2190.308;2267.606;2330.211;2395.109;2365.669;2441.059;2549.045;2612.488;2665.007;2740.561;2823.494;2921.980;3026.482;3139.472                                                                                                                                                                                                                                                                                                                                                                                                                                         
D_W.1.0.0.0.UUNF;West Germany;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd EURO-DEM;151.160;167.922;185.334;197.702;215.368;236.450;250.997;252.149;265.897;297.655;342.310;387.310;423.900;466.340;498.010;534.480;574.930;615.730;656.910;720.850;785.080;822.620;843.080;880.940;916.400;946.670;980.350;1014.800;1064.680;1135.050;1229.710;1329.080;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA                                                                                                                                                                                                                                                                                                                                                                                                                                       
EST.1.0.0.0.UUNF;Estonia;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd EURO-EEK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.50862;2.19043;2.96050;3.91596;4.81164;5.52981;5.60705;6.19797;6.99486;8.10815;9.22060;10.18455;11.77461;14.48558;17.21158;17.16200;13.74754;13.77487;15.89481;17.56695;18.51854;18.75651;19.49966;20.04666;21.54019;22.83406                                                                                                                                                                                                                                                                                                                                                                                                                                                                
IRL.1.0.0.0.UUNF;Ireland;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd EURO-IEP;0.9790;1.0574;1.1589;1.2610;1.4368;1.5347;1.5930;1.7125;1.9653;2.2978;2.5815;2.9710;3.4881;4.2628;4.9374;5.9956;7.4468;9.0035;10.9210;13.4682;16.0131;19.5410;21.1646;22.5526;24.2579;25.8601;27.3981;28.4534;30.1420;33.3960;35.6426;36.9087;39.1832;40.9079;44.3229;48.2370;53.8801;60.7478;69.7381;80.4000;92.7938;103.7831;114.4195;124.7047;135.9910;152.7787;169.0424;179.6580;173.0166;150.5187;139.7952;140.1453;144.3709;143.4039;153.8138;173.5965;202.5417;213.8304;224.4199                                                                                                                                                                                                                                                                                                          
GRC.1.0.0.0.UUNF;Greece;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd EURO-GRD;0.4175;0.4560;0.4930;0.5258;0.6014;0.6833;0.7652;0.8300;0.9250;1.0410;1.1629;1.2860;1.4995;1.8828;2.1486;2.6260;3.2282;4.0482;5.0834;6.4024;7.4913;9.0001;10.9695;13.5336;15.7722;19.4970;23.4407;27.3026;32.8497;40.0713;49.2353;59.8767;69.1963;77.8883;86.4652;98.4081;109.5900;119.9690;135.5533;146.1205;155.0817;166.8165;178.1331;195.0970;208.3802;213.2014;235.3694;259.1394;270.8091;266.5919;246.6896;221.3885;199.3719;186.7399;181.8527;178.4598;178.6913;184.4873;190.7983                                                                                                                                                                                                                                                                                                          
ESP.1.0.0.0.UUNF;Spain;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd EURO-ESP;4.480;5.117;5.902;7.088;8.015;9.506;11.000;12.476;13.977;15.694;17.459;19.336;22.830;27.847;34.981;40.715;49.344;61.716;74.026;86.582;101.857;115.732;132.605;149.797;163.249;182.388;207.910;236.626;265.842;304.301;339.313;371.612;398.552;406.664;428.410;462.183;487.102;515.780;554.607;602.596;662.861;713.576;762.414;819.927;892.651;975.936;1065.148;1142.434;1169.125;1088.873;1089.457;1068.422;1022.424;992.693;1009.254;1045.593;1076.114;1119.928;1161.611                                                                                                                                                                                                                                                                                                                          
FRA.1.0.0.0.UUNF;France;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd EURO-FRF;44.411;49.141;55.083;62.607;69.411;74.736;81.104;88.264;96.670;110.544;122.366;137.332;153.343;175.477;207.664;235.639;271.999;303.711;343.773;392.861;454.264;521.327;599.186;655.915;709.327;763.597;814.686;865.883;929.104;998.000;1056.290;1096.107;1130.918;1142.751;1170.412;1200.757;1240.422;1262.864;1313.103;1369.314;1454.753;1514.965;1561.978;1617.127;1691.185;1767.750;1854.206;1951.720;2020.169;1980.860;2039.267;2095.637;2128.419;2149.885;2166.666;2192.533;2242.418;2298.655;2370.557                                                                                                                                                                                                                                                                                       
HRV.1.0.0.0.UUNF;Croatia;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd HRK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;123.9875;134.9162;159.8808;171.8654;176.3238;185.3657;197.7576;220.7191;244.6496;261.3428;279.9355;304.7670;336.3734;364.0567;343.8245;329.1743;332.9895;330.0354;330.3358;324.4557;326.9800;334.9691;351.6387;368.8843                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ITA.1.0.0.0.UUNF;Italy;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd EURO-ITL;13.447;14.882;16.905;19.855;21.311;22.345;24.306;26.939;29.167;32.221;36.316;40.090;44.044;53.654;67.987;78.575;96.206;116.786;135.631;166.949;214.782;261.116;304.487;348.711;397.557;444.870;486.545;534.932;596.355;657.162;726.057;792.823;836.269;836.740;880.559;942.070;993.610;1045.129;1097.838;1146.392;1225.301;1280.294;1332.891;1379.608;1435.082;1492.181;1555.145;1605.425;1636.215;1592.533;1626.582;1649.951;1605.339;1572.963;1570.822;1589.190;1614.450;1655.193;1696.856                                                                                                                                                                                                                                                                                                       
CYP.1.0.0.0.UUNF;Cyprus;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd EURO-CYP;0.19971;0.21045;0.23904;0.25765;0.23040;0.24959;0.29448;0.33093;0.36949;0.42570;0.47270;0.53390;0.60565;0.70790;0.70061;0.58340;0.72421;0.96728;1.17658;1.39989;1.67250;1.87470;2.17590;2.40515;2.78692;2.98759;3.05627;3.40216;3.90115;4.46114;4.99524;5.55887;6.37920;6.19273;6.65814;7.60796;7.96823;8.49851;8.86277;9.58751;10.26088;10.89597;11.63174;12.64016;13.65501;14.75329;16.52917;18.52884;21.05463;19.73589;20.40861;20.32741;19.55945;17.96717;17.09463;17.36769;18.27636;18.90299;19.59204                                                                                                                                                                                                                                                                                        
LVA.1.0.0.0.UUNF;Latvia;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd EURO-LVL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.10907;0.14337;1.00967;2.03563;3.06538;4.18578;5.04014;5.68683;6.62272;6.92235;7.43162;8.17344;8.93750;10.23472;12.30698;15.03201;19.76991;25.72685;26.75640;19.23624;18.21529;20.70495;22.68124;23.35193;23.93933;24.50066;24.47724;26.82724;29.04022                                                                                                                                                                                                                                                                                                                                                                                                                                                 
LTU.1.0.0.0.UUNF;Lithuania;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd EURO-LTL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.04149;0.11091;1.05644;3.86850;5.58997;8.40526;10.57025;12.64721;14.44791;14.05842;14.24371;15.18251;16.07424;17.58937;19.56057;22.38087;26.35824;31.82611;35.87495;28.86574;28.23522;31.06228;32.38856;34.26715;35.81586;37.34328;39.17601;41.87003;44.25685                                                                                                                                                                                                                                                                                                                                                                                                                                       
LUX.1.0.0.0.UUNF;Luxembourg;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd EURO-LUF;0.70124;0.75476;0.81777;0.92988;1.07550;1.08105;1.12502;1.11972;1.18330;1.29288;1.46835;1.68763;1.86719;2.13104;2.44001;2.76408;3.04751;3.27025;3.47588;3.80512;4.32411;4.66160;5.12430;5.35608;5.74779;5.99892;6.62997;7.25926;7.89377;8.65428;9.39548;10.52952;10.53211;11.66450;12.23714;12.68232;12.98310;13.72384;14.40207;16.08941;16.83328;18.11815;19.11761;19.96036;20.99785;21.78805;22.79761;24.51453;26.27547;25.89363;26.85400;29.00800;30.77405;31.66507;33.03851;33.80531;34.34290;36.62980;38.63392                                                                                                                                                                                                                                                                           
HUN.1.0.0.0.UUNF;Hungary;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd HUF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;358.15;381.85;403.87;441.82;492.04;521.40;554.32;618.07;673.01;726.90;758.14;800.50;852.61;903.88;965.84;1033.78;1125.73;1266.86;1413.12;1656.36;1999.10;2657.22;3210.60;3985.44;4778.08;5738.50;6929.17;8455.09;10113.61;11692.16;13425.07;15328.16;17579.14;19620.53;21216.67;22622.71;23892.85;25233.65;26570.21;25880.84;25542.13;26232.72;26698.87;27974.95;29810.09;30953.64;30945.94;34128.86;36822.51                                                                                                                                                                                                                                                                                                                                                           
MLT.1.0.0.0.UUNF;Malta;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd EURO-MTL;0.126020;0.129607;0.129129;0.132477;0.137020;0.143716;0.154715;0.173846;0.203976;0.246780;0.286953;0.287192;0.293409;0.323300;0.394799;0.446451;0.539711;0.650666;0.700165;0.808012;0.966075;1.100943;1.221941;1.244898;1.253745;1.299419;1.327636;1.441699;1.576328;1.754000;1.967062;2.105970;2.239545;2.456192;2.685847;3.110580;3.398940;3.510030;3.759690;3.908830;4.264690;4.413020;4.348380;4.799090;4.989560;5.308980;5.605040;5.805910;6.017870;6.071060;6.512980;6.594640;6.856900;7.024800;7.428400;8.633290;8.822510;9.396194;9.748395                                                                                                                                                                                                                                                 
NLD.1.0.0.0.UUNF;Netherlands;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd EURO-NLG;21.3287;23.0868;25.0825;27.6392;32.3708;36.0182;39.7785;43.5921;48.0106;53.5043;61.2945;69.4172;75.9411;85.7360;96.0536;108.5052;122.9383;136.7571;149.1435;158.9110;171.0050;174.9438;180.6695;187.0620;193.1895;202.9276;209.2201;214.6408;223.6206;232.8034;244.5840;258.2924;269.6312;276.1173;287.1122;302.1080;317.6820;338.2190;362.4940;391.1010;418.2580;443.1430;461.4950;472.7190;481.5250;496.5560;527.2030;556.4160;583.5800;574.4880;574.3910;586.4990;581.5590;581.0100;588.1980;604.6520;622.2920;644.5737;667.0561                                                                                                                                                                                                                                                          
AUT.1.0.0.0.UUNF;Austria;01 Domestic demand excluding change in inventories;Domestic demand excluding stocks at current prices ;Mrd EURO-ATS;12.4201;13.7786;14.7533;16.0563;17.4421;19.2415;20.8774;22.2734;23.6428;25.3351;27.9582;31.9594;37.1135;41.3218;47.1919;51.2931;56.7997;63.7305;65.3809;71.5433;77.9174;84.1598;88.7421;94.9522;98.1825;104.3470;109.0277;113.6420;119.1101;126.8677;136.2192;147.0717;156.3985;162.0039;170.7933;175.9951;183.7899;188.0491;194.6903;200.2556;210.4821;215.4710;217.0738;224.8713;233.0995;243.9825;254.1364;265.4437;276.5104;277.1231;281.8534;295.6591;304.6461;311.9615;317.1544;323.6508;333.7130;344.3649;354.5277                                                                                                                                                                                                                                                                        
