"","CODE","COUNTRY","SUB.CHAPTER","TITLE","UNIT","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X"
"1","EU28.1.0.0.0.UCPH","European Union","01 Private final consumption expenditure","Private final consumption expenditure at current prices ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4208.146,4457.306,4726.568,4948.205,5213.948,5609.899,5833.102,6017.966,6104.02,6389.445,6682.784,7001.443,7341.778,7404.87,7071.866,7340.426,7524.504,7716.908,7739.973,7944.095,8283.385,8301.818,8539.323,"8825.668                                                                                                                                                                                                                                                                                                                                                                                                                                         ",NA
"2","EU15.1.0.0.0.UCPH","European Union (15 countries)","01 Private final consumption expenditure","Private final consumption expenditure at current prices ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3553.55,3725.695,3753.049,3912.903,4033.013,4260.341,4506.776,4705.838,4966.527,5326.589,5512.861,5673.391,5762.395,6016.802,6253.638,6526.072,6796.756,6784.264,6519.094,6745.152,6902.691,7084.062,7104.5,7297.761,7617.078,7620.281,7810.146,"8055.383                                                                                                                                                                                                                                                                                                                                                                                                  ",NA
"3","EA19.1.0.0.0.UCPH","Euro area","01 Private final consumption expenditure","Private final consumption expenditure at current prices ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3005.306,3123.241,3251.992,3408.709,3474.249,3603.584,3777.391,3982.623,4155.985,4273.576,4415.701,4582.893,4765.158,4974.434,5185.096,5346.317,5251.524,5375.379,5496.698,5535.836,5560.834,5632.206,5743.264,5877.022,6055.042,"6234.508                                                                                                                                                                                                                                                                                                                                                                                                                                  ",NA
"4","EA12.1.0.0.0.UCPH","Euro area (12 countries)","01 Private final consumption expenditure","Private final consumption expenditure at current prices ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2780.597,2947.386,2983.605,3097.969,3220.629,3373.484,3434.315,3560.269,3731.549,3931.443,4100.867,4214.111,4351.529,4511.869,4686.543,4885.172,5080.518,5228.965,5140.313,5262.628,5378.382,5413.378,5437.103,5505.666,5613.98,5743.036,5913.949,"6086.073                                                                                                                                                                                                                                                                                                                                                                                                       ",NA
"5","DU15.1.0.0.0.UCPH","EU15 (including D_W West-Germany)","01 Private final consumption expenditure","Private final consumption expenditure at current prices ","Mrd ECU/EUR, Standard aggregation",194.821,210.333,229.649,252.037,273.329,297.08,320.652,342.371,367.506,404.393,448.672,497.479,553.779,634.307,737.839,844.167,963.385,1065.961,1161.032,1326.315,1507.437,1688.186,1846.723,1964.865,2121.755,2277.111,2392.638,2526.635,2742.447,3000.885,3205.332,3438.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                       ",NA
"6","DA12.1.0.0.0.UCPH","EA12 (including D_W West-Germany)","01 Private final consumption expenditure","Private final consumption expenditure at current prices ","Mrd ECU/EUR, Standard aggregation",133.074,145.622,160.856,178.519,194.425,212.565,230.521,247.761,272.84,302.542,337.555,375.148,420.994,494.34,577.642,663.357,764.821,851.539,925.521,1048.799,1172.569,1289.467,1418.819,1519.077,1638.849,1748.037,1869.998,1979.098,2101.819,2307.343,2493.777,2665.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                         ",NA
"7","BEL.1.0.0.0.UCPH","Belgium","01 Private final consumption expenditure","Private final consumption expenditure at current prices ","Mrd EURO-BEF",9.094,9.4702,9.94,10.7741,11.5174,12.586,13.439,14.1895,15.3629,16.6419,17.8212,19.7148,21.9352,24.9088,28.5349,32.3412,36.282,39.9733,42.7974,47.0351,51.0656,55.0764,60.4482,64.624,68.4883,73.827,76.1198,78.727,82.2882,88.258,93.5553,99.0927,102.836,104.9828,109.9263,113.384,116.607,120.491,125.257,128.148,136.103,140.291,142.798,145.8,151.649,157.661,164.949,172.866,181.392,181.546,189.693,196.069,201.182,204.394,207.243,210.154,214.835,222.2872,"228.3519                                                                                                                                                                                                                                                                                       ",NA
"8","BGR.1.0.0.0.UCPH","Bulgaria","01 Private final consumption expenditure","Private final consumption expenditure at current prices ","Mrd BGN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07499,0.13456,0.22433,0.3974,0.58756,1.32986,12.55458,15.40412,16.30925,18.46657,20.99998,22.9762,24.61104,27.83838,31.9646,35.45484,43.48423,47.75643,45.95336,47.70778,50.3172,53.67105,51.01116,52.39141,55.38602,56.31851,58.59102,"60.77471                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",NA
"9","CZE.1.0.0.0.UCPH","Czech Republic","01 Private final consumption expenditure","Private final consumption expenditure at current prices ","Mrd CZK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.57,413.753,505.086,597.098,680.734,780.392,905.13,1012.131,1090.599,1147.868,1207.112,1284.892,1341.031,1406.227,1500.064,1566.462,1655.458,1775.163,1913.359,1917.902,1947.082,1978.727,1997.735,2025.032,2073.661,2139.711,2215.15,2324.113,"2433.179                                                                                                                                                                                                                                                                                                                                                                                                                                             ",NA
"10","DNK.1.0.0.0.UCPH","Denmark","01 Private final consumption expenditure","Private final consumption expenditure at current prices ","Mrd DKK",26.508,29.464,33.122,34.984,39.233,43.038,47.808,52.943,57.591,63.899,70.596,76.177,82.772,97.407,109.861,125.339,148.266,165.451,181.812,201.214,216.702,239.374,267.443,290.85,321.918,348.811,376.867,386.375,394.877,415.15,425.545,444.579,461.42,462.317,505.961,523.965,545.833,572.395,594.675,605.199,624.499,640.633,661.924,678.795,718.749,757.948,797.472,825.725,853.746,834.887,862.222,884.899,910.399,920.344,932.46,955.867,979.02,1009.593,"1045.236                                                                                                                                                                                                                                                                                                                                ",NA
