"","CODE","COUNTRY","SUB.CHAPTER","TITLE","UNIT","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X"
"1","EU28.1.0.0.0.NET1","European Union","01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ","1000 persons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17357.347,17341.518,17206.981,16977.231,16720.838,16160.943,14608.112,14380.348,13557.822,13418.454,12950.905,12689.85,12428.74,12217.1,12190.89,11861.32,11608.9,11301.56,11238.98,10895.28,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",NA
"2","EU15.1.0.0.0.NET1","European Union (15 countries)","01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ","1000 persons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8578.21,8140.886,7753.718,7481.292,7220.567,7057.999,6941.422,6777.1,6596.12,6480.2,6352.8,6226.3,6114.69,5980.83,5911.34,5807.35,5711.11,5636.35,5536.13,5518.98,5407.26,5347.86,5221.04,5268.07,5172.58,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                               ",NA
"3","EA19.1.0.0.0.NET1","Euro area","01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ","1000 persons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7319.057,7184.069,7059.602,6875.3,6704.13,6579.85,6460.75,6348.44,6216.77,6024.68,5896.27,5795.63,5631.93,5494.84,5380.11,5308.39,5192.86,5136.23,5049.93,5047.07,4996.76,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",NA
"4","EA12.1.0.0.0.NET1","Euro area (12 countries)","01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ","1000 persons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7815.447,7381.65,6966.704,6741.298,6486.197,6346.059,6232.522,6104.18,5974.24,5891.42,5806.46,5689.12,5585.68,5454.09,5366.32,5271.73,5180.2,5090.42,4981.73,4933.98,4820.5,4761.13,4678.83,4671.26,4613.14,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                    ",NA
"5","DU15.1.0.0.0.NET1","EU15 (including D_W West-Germany)","01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ","1000 persons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11881.715,11390.254,11226.109,10886.672,10583.794,10197.927,9900.448,9623.634,9206.472,8849.349,8435.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",NA
"6","DA12.1.0.0.0.NET1","EA12 (including D_W West-Germany)","01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ","1000 persons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10918.058,10433.867,10286.42,9957.532,9666.979,9307.537,9035.535,8782.301,8396.994,8064.154,7672.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",NA
"7","BEL.1.0.0.0.NET1","Belgium","01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ","1000 persons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.605,181.166,169.209,160.523,156.01,152.062,142.812,136.946,132.998,133.111,125.776,121.857,119.997,119.067,118.136,117.206,116.276,114.416,112.555,111.625,110.695,108.834,106.974,106.044,103.253,89.3,86.7,84.8,84.1,82.9,80.6,78.5,76.6,76.3,75.5,74.8,73,70.6,69.1,67.5,64.2,61.6,60.7,59.7,59.5,59.6,59.2,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                       ",NA
"8","BGR.1.0.0.0.NET1","Bulgaria","01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ","1000 persons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777.68,813.83,817.64,844.29,797.7,780.36,768.32,765.02,758.98,753.26,742.25,732.66,723.86,736.58,736.74,710.48,689.53,648.72,656.18,666.48,649.03,624.98,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",NA
"9","CZE.1.0.0.0.NET1","Czech Republic","01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ","1000 persons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280.539,278.679,265.29,265.53,248.6,253.57,229.95,224.67,223,190.28,185.63,189.12,180.33,174.85,170.14,167.66,167.86,159.08,162.87,165.42,167.08,165.53,158.87,160.7,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",NA
"10","DNK.1.0.0.0.NET1","Denmark","01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ","1000 persons",NA,NA,NA,NA,NA,NA,299,287,275,263,250,237,230,228,222,217,215,210,202,196,188,181,180,178,175,170,164,162,148,141,133,130,127,121,112,109,105,101,98,93,90,87,87,84,80,78,75,73,74,72,71,70,69,69,69,68,68,NA,"NA                                                                                                                                                                                                                                                                                                                                                                ",NA
