"","CODE","COUNTRY","SUB.CHAPTER","TITLE","UNIT","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X"
"1","EU28.1.0.0.0.UBGS","European Union","01 Balances with the rest of the world, national accounts","Net exports of goods and services at current prices (National accounts) ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.5024,123.9668,149.522,115.0635,74.2805,28.6024,79.3035,147.9788,118.0615,132.5199,87.7567,56.2955,73.2432,19.4303,118.5765,109.7521,138.6976,257.2482,344.0794,374.7173,507.8803,519.3582,483.4685,"490.4056                                                                                                                                                                                                                                                                                                                                                                                                               ",NA
"2","EU15.1.0.0.0.UBGS","European Union (15 countries)","01 Balances with the rest of the world, national accounts","Net exports of goods and services at current prices (National accounts) ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.6224,-5.4398,74.1557,87.18,110.2903,134.149,164.4186,131.4254,91.9782,50.2367,98.2121,167.8466,138.7521,155.702,109.9856,88.5988,118.943,76.7027,125.6246,117.7315,142.3658,248.4924,315.2085,343.8776,467.7435,467.6576,440.0257,"449.1026                                                                                                                                                                                                                                                                                                                                                                         ",NA
"3","EA19.1.0.0.0.UBGS","Euro area","01 Balances with the rest of the world, national accounts","Net exports of goods and services at current prices (National accounts) ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.6683,71.1882,86.5342,106.0211,131.8057,118.4874,87.5318,52.1934,106.668,185.738,147.484,167.7636,122.9066,97.0236,134.2237,91.4967,134.5234,128.5366,137.4234,262.1609,330.7463,359.5449,473.9809,481.8923,454.5862,"456.7092                                                                                                                                                                                                                                                                                                                                                                                                        ",NA
"4","EA12.1.0.0.0.UBGS","Euro area (12 countries)","01 Balances with the rest of the world, national accounts","Net exports of goods and services at current prices (National accounts) ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.7479,-11.8365,61.208,70.8127,87.8661,109.7869,135.996,123.2449,91.0924,55.285,110.3673,189.5135,150.9186,173.0593,129.1861,106.9207,145.6812,104.1155,135.9427,130.3132,138.6449,258.3326,324.6727,351.6824,467.4491,472.4331,446.5793,"448.5896                                                                                                                                                                                                                                                                                                                                                                           ",NA
"5","DU15.1.0.0.0.UBGS","EU15 (including D_W West-Germany)","01 Balances with the rest of the world, national accounts","Net exports of goods and services at current prices (National accounts) ","Mrd ECU/EUR, Standard aggregation",1.97499,2.23749,0.82701,-0.63201,-1.76078,-0.84367,0.43354,1.89204,3.91412,3.5056,3.67369,7.25018,8.30819,4.38982,-8.97279,3.72769,-7.64976,3.29567,21.37811,0.43933,-28.62003,-6.96564,-2.40163,19.38315,32.46879,43.8369,67.89524,46.88864,29.30594,16.19034,41.42026,64.22739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                  ",NA
"6","DA12.1.0.0.0.UBGS","EA12 (including D_W West-Germany)","01 Balances with the rest of the world, national accounts","Net exports of goods and services at current prices (National accounts) ","Mrd ECU/EUR, Standard aggregation",3.02442,2.44347,1.05834,-0.4602,-0.18809,0.25571,0.8609,3.24308,4.94789,3.44138,3.21255,5.18952,7.70778,6.77672,-0.21369,6.5594,-3.37542,3.45407,17.17918,-0.00869,-36.73048,-22.37037,-13.70619,8.85807,25.08495,32.02255,65.48393,45.56484,44.19562,36.86756,48.59376,56.10185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                 ",NA
"7","BEL.1.0.0.0.UBGS","Belgium","01 Balances with the rest of the world, national accounts","Net exports of goods and services at current prices (National accounts) ","Mrd EURO-BEF",-0.12147,-0.14378,-0.02975,-0.19584,-0.09916,-0.04276,-0.20079,0.05702,0.06941,0.25781,0.7759,0.8057,1.4601,1.1379,0.5379,0.1883,0.3867,-0.7238,-0.9346,-1.832,-2.9698,-2.348,-2.117,0.335,0.613,1.272,3.121,2.605,3.719,3.669,3.076,3.444,5.028,6.584,7.86,7.33,6.102,7.744,7.762,9.281,6.807,8.894,15.141,14.703,14.046,11.42,12.18,13.162,1.713,7.892,6.56,1.962,2.389,4.473,3.673,6.852,12.885,14.46783,"15.68356                                                                                                                                                                                                                                                        ",NA
"8","BGR.1.0.0.0.UBGS","Bulgaria","01 Balances with the rest of the world, national accounts","Net exports of goods and services at current prices (National accounts) ","Mrd BGN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0058,-0.0117,-0.02277,-0.00329,0.12012,0.24438,2.41495,1.80921,-1.14581,-1.49287,-2.88756,-2.71698,-3.72974,-4.5942,-6.89041,-9.16259,-11.95124,-14.37522,-6.04109,-2.1306,0.30379,-2.6029,-0.33671,-0.78875,0.13085,2.83252,2.40497,"2.69767                                                                                                                                                                                                                                                                                                                                                                                                                         ",NA
"9","CZE.1.0.0.0.UBGS","Czech Republic","01 Balances with the rest of the world, national accounts","Net exports of goods and services at current prices (National accounts) ","Mrd CZK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.469,52.982,7.611,15.842,-17.489,-49.113,-88.364,-81.311,-5.829,-9.431,-43.984,-32.209,-34.263,-33.74,24.884,76.682,96.254,93.892,87.078,152.336,122.518,154.466,194.985,236.205,274.548,279.205,347.449,348.0465,"352.2755                                                                                                                                                                                                                                                                                                                                                                                                                 ",NA
"10","DNK.1.0.0.0.UBGS","Denmark","01 Balances with the rest of the world, national accounts","Net exports of goods and services at current prices (National accounts) ","Mrd DKK",-0.515,-0.743,-1.624,0.157,-1.283,-1.085,-1.296,-1.883,-1.402,-2.399,-3.628,-2.871,-0.659,-3.521,-6.972,-2.232,-12.211,-10.662,-7.378,-8.817,-1.805,6.201,4.574,12.254,10.264,5.145,-1.419,15.378,27.039,31.185,47.536,55.379,63.751,69.89,58.835,48.812,61.62,49.94,36.457,74.487,89.044,97.933,96.632,97.629,85.076,87.3,68.861,50.379,63.473,77.446,125.785,118.097,114.079,127.503,137.592,150.039,141.704,146.0363,"148.5806                                                                                                                                                                                                                                                                            ",NA
