"","CODE","COUNTRY","SUB.CHAPTER","TITLE","UNIT","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X"
"729","DNK.1.0.99.0.UOGH","Denmark","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.96889,8.91837,9.20573,9.98603,10.65213,11.37147,11.3895,11.25055,12.01298,12.64326,12.9176,13.74204,14.36949,15.29905,17.41666,17.77211,17.16404,16.7881,15.73219,16.31795,17.44187,17.68073,17.55758,18.14133,18.16436,18.3352,18.25976,18.19784,17.98035,18.61387,19.6348,20.65335,21.22601,21.99931,20.52785,22.93239,23.53194,"24.11845                                                                                                                                                                                                                                                                                                                                                                                                            ",NA
"730","DEU.1.0.99.0.UOGH","Germany","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.1552,233.2996,255.4349,271.814,291.0985,290.82,285.4711,280.7816,278.71,283.86,282.958,284.746,281.277,286.667,293.593,306.579,318.096,336.508,302.705,321.608,342.797,349.426,360.019,361.07,372.838,387.525,397.2131,"409.1295                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",NA
"731","D_W.1.0.99.0.UOGH","West Germany","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.7,99.1491,109.4891,121.4657,130.994,136.0978,151.8849,161.808,173.1057,185.8093,198.1478,214.4035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",NA
"732","EST.1.0.99.0.UOGH","Estonia","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175415,0.223777,0.296029,0.481292,0.572471,0.658926,0.696,0.7937,0.8191,0.865,0.8917,0.9786,1.0777,1.2484,1.4636,1.4011,1.2311,1.2301,1.346,1.4072,1.4627,1.4813,1.5014,1.605737,1.702081,"1.804206                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",NA
"733","IRL.1.0.99.0.UOGH","Ireland","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.74547,15.47934,17.29747,17.56345,18.8715,19.94056,21.76727,23.38336,26.19779,26.57506,20.6643,20.52589,20.35027,20.68917,21.10289,22.85192,24.9472,25.69562,26.23522,"26.57628                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",NA
"734","GRC.1.0.99.0.UOGH","Greece","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.51237,44.28386,48.04529,48.34264,51.08825,50.51337,54.02136,56.92044,62.93802,66.84804,66.67936,74.22219,76.86421,77.21614,76.48462,71.1066,65.43911,59.49426,56.37599,55.14166,54.09184,53.21057,54.8824,"56.53719                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",NA
"735","ESP.1.0.99.0.UOGH","Spain","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.2375,107.9696,108.9507,112.4815,115.982,125.904,139.653,151.576,162.444,171.958,181.064,192.034,191.06,175.147,161.443,164.208,172.729,169.874,167.405,162.875,166.535,172.711,181.8175,"189.5202                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",NA
"736","FRA.1.0.99.0.UOGH","France","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",13.9483,14.263,16.4404,17.6277,18.726,20.1391,22.0104,24.2643,26.8665,28.2966,28.9382,30.1647,34.6596,39.668,42.877,48.239,52.6822,56.2473,63.8053,70.8187,78.5496,83.9875,90.1371,95.1174,99.5189,107.3815,112.4555,116.5172,122.1652,134.6542,145.2947,147.7338,159.8367,165.9135,174.7474,180.3061,188.7355,190.139,197.4765,204.8841,217.3466,231.4532,237.6342,243.3175,253.9536,260.3089,273.6669,288.7993,299.4903,281.8442,284.1153,289.9729,293.3519,290.5839,292.537,295.6636,299.1745,305.4572,"314.6209                                                                                                                                                                                                                                                                                                    ",NA
"737","HRV.1.0.99.0.UOGH","Croatia","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.67749,4.739565,5.037656,5.370423,5.682162,6.03882,6.593318,6.661294,7.178695,7.102284,6.873473,6.866345,7.00592,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",NA
"738","ITA.1.0.99.0.UOGH","Italy","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.4043,77.5091,88.6271,104.5414,116.5536,125.2006,139.055,148.8186,158.4646,177.8348,199.489,218.5778,221.194,193.2541,199.0718,217.5586,249.3124,265.2409,266.4045,278.516,294.6801,307.8028,320.6914,335.292,351.3745,354.4951,364.1104,378.1509,387.3769,382.5964,384.0273,393.7599,385.4885,389.3928,388.8302,389.7895,398.0832,406.317,"414.9593                                                                                                                                                                                                                                                                                                                                                                                                       ",NA
