"COUNTRY","year","f21"
"Croatia",1961,NA
"Croatia",1962,NA
"Croatia",1963,NA
"Croatia",1964,NA
"Croatia",1965,NA
"Croatia",1966,NA
"Croatia",1967,NA
"Croatia",1968,NA
"Croatia",1969,NA
"Croatia",1970,NA
"Croatia",1971,NA
"Croatia",1972,NA
"Croatia",1973,NA
"Croatia",1974,NA
"Croatia",1975,NA
"Croatia",1976,NA
"Croatia",1977,NA
"Croatia",1978,NA
"Croatia",1979,NA
"Croatia",1980,NA
"Croatia",1981,NA
"Croatia",1982,NA
"Croatia",1983,NA
"Croatia",1984,NA
"Croatia",1985,NA
"Croatia",1986,NA
"Croatia",1987,NA
"Croatia",1988,NA
"Croatia",1989,NA
"Croatia",1990,NA
"Croatia",1991,NA
"Croatia",1992,NA
"Croatia",1993,NA
"Croatia",1994,0.416177882472926
"Croatia",1995,0.364606668174967
"Croatia",1996,0.0891755664762357
"Croatia",1997,0.126997092798889
"Croatia",1998,0.0797811525635244
"Croatia",1999,-0.0337045741638933
"Croatia",2000,0.0749616775021069
"Croatia",2001,0.100994429127631
"Croatia",2002,0.0992306231771252
"Croatia",2003,0.0757172573051861
"Croatia",2004,0.0899543071139093
"Croatia",2005,0.0909535611597427
"Croatia",2006,0.101060605521087
"Croatia",2007,0.0927422915845211
"Croatia",2008,0.0957039111232527
"Croatia",2009,-0.0631495314034585
"Croatia",2010,-0.00190683139312464
"Croatia",2011,-0.00658222627811023
"Croatia",2012,-0.0173222869131683
"Croatia",2013,-0.0101709729513803
"Croatia",2014,-0.011712235840596
"Croatia",2015,0.0202242234164858
"Croatia",2016,0.039004617434407
"Croatia",2017,0.0551060219166764
"Cyprus",1961,0.0860433354250489
"Cyprus",1962,0.1207259873564
"Cyprus",1963,0.0439133863043613
"Cyprus",1964,-0.0824472720934286
"Cyprus",1965,0.259150202634245
"Cyprus",1966,0.0906736402725743
"Cyprus",1967,0.132265129682997
"Cyprus",1968,-0.0227439322365206
"Cyprus",1969,0.159683300343786
"Cyprus",1970,0.0705905603765786
"Cyprus",1971,0.144441833926294
"Cyprus",1972,0.135083217244666
"Cyprus",1973,0.111837430723319
"Cyprus",1974,-0.0864356757761665
"Cyprus",1975,-0.197825119236884
"Cyprus",1976,0.29466791393826
"Cyprus",1977,0.248432448319781
"Cyprus",1978,0.172529477546056
"Cyprus",1979,0.217025014640676
"Cyprus",1980,0.266946676657203
"Cyprus",1981,0.169225844257314
"Cyprus",1982,0.163211798063046
"Cyprus",1983,0.16805364950691
"Cyprus",1984,0.228560499199082
"Cyprus",1985,-0.146357194287605
"Cyprus",1986,0.0590823381521057
"Cyprus",1987,-0.0196368444519611
"Cyprus",1988,0.279255627801354
"Cyprus",1989,0.0471078898911614
"Cyprus",1990,0.153414944832625
"Cyprus",1991,0.0622617148007845
"Cyprus",1992,0.139569728485947
"Cyprus",1993,0.0601494932758213
"Cyprus",1994,0.11310343954808
"Cyprus",1995,0.0795301608055197
"Cyprus",1996,0.0386963768058703
"Cyprus",1997,0.0664347275031687
"Cyprus",1998,0.0877519707826202
"Cyprus",1999,0.075073231117516
"Cyprus",2000,0.0980584655536181
"Cyprus",2001,0.0738979129066593
"Cyprus",2002,0.0413705848436559
"Cyprus",2003,0.0652506217438622
"Cyprus",2004,0.0828583126737867
"Cyprus",2005,0.0790199650305248
"Cyprus",2006,0.0814210026570492
"Cyprus",2007,0.0816109445853508
"Cyprus",2008,0.0804335159072371
"Cyprus",2009,-0.0174908291925271
"Cyprus",2010,0.0335217819019755
"Cyprus",2011,0.0223612010673853
"Cyprus",2012,-0.0133844811175882
"Cyprus",2013,-0.06928402314279
"Cyprus",2014,-0.0304042008541677
"Cyprus",2015,0.00397498769023219
"Cyprus",2016,0.014980852948147
"Cyprus",2017,0.0327840280648442
"Czech Republic",1961,NA
"Czech Republic",1962,NA
"Czech Republic",1963,NA
"Czech Republic",1964,NA
"Czech Republic",1965,NA
"Czech Republic",1966,NA
"Czech Republic",1967,NA
"Czech Republic",1968,NA
"Czech Republic",1969,NA
"Czech Republic",1970,NA
"Czech Republic",1971,NA
"Czech Republic",1972,NA
"Czech Republic",1973,NA
"Czech Republic",1974,NA
"Czech Republic",1975,NA
"Czech Republic",1976,NA
"Czech Republic",1977,NA
"Czech Republic",1978,NA
"Czech Republic",1979,NA
"Czech Republic",1980,NA
"Czech Republic",1981,NA
"Czech Republic",1982,NA
"Czech Republic",1983,NA
"Czech Republic",1984,NA
"Czech Republic",1985,NA
"Czech Republic",1986,NA
"Czech Republic",1987,NA
"Czech Republic",1988,NA
"Czech Republic",1989,NA
"Czech Republic",1990,NA
"Czech Republic",1991,-0.0631470865063746
"Czech Republic",1992,0.0501931881807749
"Czech Republic",1993,0.305036167083228
"Czech Republic",1994,0.156713671882923
"Czech Republic",1995,0.140746993565064
"Czech Republic",1996,0.155095220424358
"Czech Republic",1997,0.0334321832525426
"Czech Republic",1998,0.0933012285771571
"Czech Republic",1999,0.02054986969155
"Czech Republic",2000,0.0987614021725334
"Czech Republic",2001,0.128638711797371
"Czech Republic",2002,0.154307151954098
"Czech Republic",2003,0.0130302688284736
"Czech Republic",2004,0.0900204638472035
"Czech Republic",2005,0.140968437037825
"Czech Republic",2006,0.131184525659543
"Czech Republic",2007,0.115248479128012
"Czech Republic",2008,0.166320788486314
"Czech Republic",2009,-0.0782905016479301
"Czech Republic",2010,0.054002516886529
"Czech Republic",2011,0.0490658030716968
"Czech Republic",2012,-0.0158989770912328
"Czech Republic",2013,-0.0228607498177271
"Czech Republic",2014,-0.00686304466621113
"Czech Republic",2015,0.0657611859507929
"Czech Republic",2016,0.0446050921461643
"Czech Republic",2017,0.0526407828890938
"Greece",1961,0.132159875522707
"Greece",1962,0.0477795911355439
"Greece",1963,0.130858934683254
"Greece",1964,0.131356700134111
"Greece",1965,0.152852977925864
"Greece",1966,0.116246109381948
"Greece",1967,0.0846839445315806
"Greece",1968,0.125859279066298
"Greece",1969,0.15867854521732
"Greece",1970,0.130648978191447
"Greece",1971,0.0831375173122111
"Greece",1972,0.0811525282492978
"Greece",1973,0.189815553075001
"Greece",1974,0.18646131165118
"Greece",1975,0.0764889721456072
"Greece",1976,0.21681321131724
"Greece",1977,0.135896026244965
"Greece",1978,0.0991076201834107
"Greece",1979,0.144184359809009
"Greece",1980,0.0256270940867518
"Greece",1981,0.154259128455667
"Greece",1982,0.186164166133697
"Greece",1983,-0.0016086040612775
"Greece",1984,0.0984282766663676
"Greece",1985,0.0202218523412756
"Greece",1986,-0.0805489690020157
"Greece",1987,-0.00934214902512553
"Greece",1988,0.134714561427562
"Greece",1989,0.113615416192269
"Greece",1990,0.071678953957435
"Greece",1991,0.104479316745194
"Greece",1992,0.0539566400759646
"Greece",1993,0.0356653438696217
"Greece",1994,0.0574415146911738
"Greece",1995,0.0656134949336982
"Greece",1996,0.0978979954520265
"Greece",1997,0.0996064684678728
"Greece",1998,0.0213954784106216
"Greece",1999,0.0843517448077287
"Greece",2000,0.0216694749448705
"Greece",2001,0.0644717046719063
"Greece",2002,0.0740306109710118
"Greece",2003,0.0944819797774146
"Greece",2004,0.082786441288081
"Greece",2005,0.0285289067799321
"Greece",2006,0.0934505373607915
"Greece",2007,0.0680845086972646
"Greece",2008,0.0399484990197452
"Greece",2009,-0.0184147800904498
"Greece",2010,-0.0484254477881501
"Greece",2011,-0.0840705830824465
"Greece",2012,-0.0764386034993182
"Greece",2013,-0.0551746067941082
"Greece",2014,-0.0150215079297864
"Greece",2015,-0.0126064540638843
"Greece",2016,0.00108425053529548
"Greece",2017,0.0327555221251719
"Italy",1961,0.100564857776881
"Italy",1962,0.120933003391073
"Italy",1963,0.14541515064797
"Italy",1964,0.0946891284174458
"Italy",1965,0.0760164324606305
"Italy",1966,0.0835088250890084
"Italy",1967,0.106687920354601
"Italy",1968,0.121786043690854
"Italy",1969,0.111188700921316
"Italy",1970,0.125352226884794
"Italy",1971,0.0769196126998424
"Italy",1972,0.0838456069920128
"Italy",1973,0.102878308511459
"Italy",1974,0.147856872979667
"Italy",1975,0.120301851829276
"Italy",1976,0.0950922248218076
"Italy",1977,0.122618213616738
"Italy",1978,0.0963991396174309
"Italy",1979,0.160757608173514
"Italy",1980,0.196243448988179
"Italy",1981,0.127748334937104
"Italy",1982,0.126238644682979
"Italy",1983,0.141873905629499
"Italy",1984,0.117313015781382
"Italy",1985,0.0706704652280932
"Italy",1986,0.095121280973733
"Italy",1987,0.0697590442558036
"Italy",1988,0.0805700015447197
"Italy",1989,0.117485807168092
"Italy",1990,0.0978281211874263
